name	number	code	lat	lon	type	favourite
Heron & Heron Bridge	6753	SA040	45.375336	-75.702934	0	0
Heron & Jefferson	5823	AI450	45.380272	-75.644882	0	0
Heron & Kaladr	6926	RA326	45.37817	-75.671051	0	0
Heron & Riverside	1569	RA420	45.376812	-75.689819	0	0
Heron & Riverside	1587	RA430	45.377083	-75.690063	0	0
Heron & Riverside	8277	SA010	45.376854	-75.693199	0	0
Heron & Riverside	8271	SA020	45.376465	-75.693115	0	0
Heron & Sandalwood	8393	AI460	45.37981	-75.648361	0	0
Heronandedgehill	8427	AG510	45.378716	-75.664597	0	0
Herzberg & AD 100	7977	WH120	45.335365	-75.895081	0	0
Herzberg & Bayfield	646	WH124	45.337196	-75.896004	0	0
Herzberg & Bayfield	1822	WH125	45.337135	-75.89621	0	0
Herzberg & Carling	645	WH122	45.33847	-75.896782	0	0
Herzberg & Carling	6399	WH193	45.339798	-75.89782	0	0
Herzberg & March	647	WH126	45.332493	-75.893318	0	0
Herzberg & March	648	WH127	45.333317	-75.89389	0	0
Hiawatha & ST Louis	7927	EK020	45.480675	-75.546921	0	0
Hiawatha & ST Louis	7926	EK030	45.481293	-75.54705	0	0
Highway 417 & Moodie	6478	WG495	45.340477	-75.841606	0	0
Highway 417 & Woodroffe	4089	SI210	45.360435	-75.767609	0	0
Highway 417 & Woodroffe	6671	SI220	45.362144	-75.76857	0	0
Hillcrest High School	NO451	NO451	45.39946	-75.63855	0	0
Hines & Innovation	1175	WM440	45.343281	-75.921394	0	0
Hines & Solandt	1173	WM430	45.341763	-75.919388	0	0
Holland & Byron	4871	NB310	45.398098	-75.731049	0	0
Holland & Byron	5853	NB320	45.39835	-75.73098	0	0
Holland & Carling	2305	NB420	45.389996	-75.726227	0	0
Holland & Carling	5677	NB430	45.390129	-75.726036	0	0
Holland & Carling	4813	NF295	45.389259	-75.725586	0	0
Holland & Highway 417	5852	NB350	45.395863	-75.729584	0	0
Holland & Kenilworth	7362	NB360	45.394104	-75.728394	0	0
Holland & Kenilworth	2306	NB370	45.393589	-75.728416	0	0
Holland & Ruskin	322	NB380	45.392525	-75.727768	0	0
Holland & Ruskin	7363	NB390	45.392315	-75.727386	0	0
Holland & Scott	5000	NA505	45.403343	-75.734016	0	0
Holland & Sherwood	6438	NB340	45.39595	-75.729698	0	0
Holland & Spencer	7351	NA530	45.401489	-75.733116	0	0
Holland & Spencer	1597	NA540	45.40163	-75.733032	0	0
Holland & Wellington	779	NA550	45.400127	-75.732292	0	0
Holland & Wellington	778	NA560	45.400059	-75.732033	0	0
Holland & Wellington	1785	NB280	45.399651	-75.731781	0	0
Holland & Wellington	2300	NB300	45.39949	-75.731964	0	0
Hollington & Emperor	7464	NF080	45.379456	-75.727531	0	0
Hollington & Emperor	7463	NF090	45.379593	-75.727867	0	0
Hollington & Shillington	4808	NF200	45.380424	-75.72831	0	0
Hollington & Summerville	8095	NF060	45.378235	-75.726685	0	0
Hollington & Summerville	4806	NF070	45.378433	-75.726677	0	0
Holly Acres & Bayshore Station	763	WD559	45.344429	-75.814072	0	0
Holly Acres & Bayshore Station	764	WD560	45.344509	-75.813942	0	0
Holly Acres & Ramp	WD557	WD557	45.343594	-75.811386	0	0
Hope Side & Acceptance	3236	WK730	45.2752	-75.841011	0	0
Hope Side & Acceptance	3237	WK735	45.275341	-75.840248	0	0
Hope Side & Crownridge	424	WK700	45.272892	-75.846817	0	0
Hope Side & Crownridge	425	WK710	45.272675	-75.846985	0	0
Hope Side & Freeport	2098	WK705	45.270161	-75.855431	0	0
Hope Side & Freeport	2099	WK715	45.270042	-75.855301	0	0
Hope Side & Old Richmond	420	WK720	45.27726	-75.835854	0	0
Hope Side & Old Richmond	421	WK725	45.277138	-75.83564	0	0
Howe & Britannia	2860	NJ360	45.365772	-75.796181	0	0
Hunt Club & AD 1189	8448	RF450	45.352287	-75.64991	0	0
Hunt Club & Albion	4845	RF417	45.355598	-75.645203	0	0
Hunt Club & Bank	5808	RF420	45.354687	-75.64637	0	0
Hunt Club & Bank	4246	RF421	45.354542	-75.646919	0	0
Hunt Club & Bank	8440	RF430	45.353012	-75.648369	0	0
Hunt Club & Bank	8383	RF440	45.352619	-75.648476	0	0
Hunt Club & Billy Bishop	4195	RE050	45.339443	-75.681496	0	0
Hunt Club & Billy Bishop	4192	RE060	45.339264	-75.681587	0	0
Hunt Club & Bridle Path	4247	RF460	45.351841	-75.650314	0	0
Hunt Club & Bridle Path	1969	RF480	45.351131	-75.652	0	0
Hunt Club & Cahill	2382	RF825	45.357925	-75.636002	0	0
Hunt Club & Cahill	2416	RF835	45.35783	-75.636948	0	0
Hunt Club & Lindberg	1730	RE066	45.336845	-75.687302	0	0
Hunt Club & Lindbergh	4196	RE057	45.336559	-75.688606	0	0
Hunt Club & Lorry Greenberg	4332	RI475	45.359882	-75.63208	0	0
Hunt Club & Mccarthy	2962	RD570	45.347328	-75.662086	0	0
Hunt Club & Mccarthy	8468	RF495	45.347565	-75.660995	0	0
Hunt Club & North Bowesville	1923	RE056	45.338055	-75.684883	0	0
Hunt Club & Parkway	8641	RF490	45.349205	-75.657593	0	0
Hunt Club & Parkway	8803	RF500	45.348755	-75.658028	0	0
Hunt Club & Paul Anka	1704	RE010	45.342968	-75.671295	0	0
Hunt Club & Paul Anka	4190	RE020	45.343292	-75.669785	0	0
Hunt Club & Paul Benoit	4193	RE065	45.337963	-75.684654	0	0
Hunt Club & Prince OF Wales	5815	SD720	45.334476	-75.702194	0	0
Hunt Club & Prince OF Wales	6098	SD730	45.334209	-75.702454	0	0
Hunt Club & Riverside	6124	RE058	45.335213	-75.691788	0	0
Hunt Club & Riverside	4197	RE067	45.3349	-75.691971	0	0
Hunt Club & Uplands	1705	RD540	45.344566	-75.666809	0	0
Hunt Club & Uplands	1921	RD550	45.344921	-75.666473	0	0
Hunt Club Loop - Stop 1A	8668	RF001	45.349827	-75.652122	0	0
Hunt Club Loop - Stop 2A	8677	RF002	45.349812	-75.652321	0	0
Huntley & AD 2176	4828	WS332	45.231846	-75.902435	0	0
Huntley & Corlyn	1124	WS344	45.22908	-75.898743	0	0
Huntley & Flewellyn	1380	WS331	45.23439	-75.905457	0	0
Huntley RD & Corlyn	6538	WS335	45.229507	-75.899597	0	0
Huntmar & Burnaby	3370	WL225	45.287155	-75.918236	0	0
Huntmar & Coriolis	1833	WL335	45.285244	-75.914619	0	0
